NOTE: Only the first 10000 rows were processed for anomaly detection due to performance limits.
Anomaly detected — Facility: ABERDEEN ENERGY LLC | Year: 2022 | CO2: 191850.2
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2014 | CO2: 213768.0
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2014 | CO2: 200325.3
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2014 | CO2: 237978.9
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2013 | CO2: 1414035.5
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2013 | CO2: 196997.4
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2013 | CO2: 193039.8
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2013 | CO2: 237092.7
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2012 | CO2: 1549519.8
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2012 | CO2: 209705.7
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2012 | CO2: 229277.0
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2012 | CO2: 239499.9
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2012 | CO2: 245777.5
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2011 | CO2: 1454810.1
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2011 | CO2: 199532.0
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2011 | CO2: 196377.7
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2011 | CO2: 229986.4
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2011 | CO2: 213348.7
Anomaly detected — Facility: AK Steel Corporation West Works | Year: 2015 | CO2: 343000.8
Anomaly detected — Facility: AK Steel Corporation West Works | Year: 2015 | CO2: 336405.8
Anomaly detected — Facility: AK Steel Corporation West Works | Year: 2015 | CO2: 317699.4
Anomaly detected — Facility: AK Steel Corporation West Works | Year: 2014 | CO2: 400240.8
Anomaly detected — Facility: AK Steel Corporation West Works | Year: 2014 | CO2: 247646.4
Anomaly detected — Facility: AK Steel Corporation West Works | Year: 2014 | CO2: 249473.8
Anomaly detected — Facility: AK Steel Corporation West Works | Year: 2013 | CO2: 615782.5
Anomaly detected — Facility: AK Steel Corporation West Works | Year: 2013 | CO2: 272970.7
Anomaly detected — Facility: AK Steel Corporation West Works | Year: 2013 | CO2: 270705.6
Anomaly detected — Facility: AK Steel Corporation West Works | Year: 2012 | CO2: 665258.8
Anomaly detected — Facility: AK Steel Corporation West Works | Year: 2012 | CO2: 212398.2
Anomaly detected — Facility: AK Steel Corporation West Works | Year: 2012 | CO2: 304107.0
Anomaly detected — Facility: AK Steel Corporation West Works | Year: 2012 | CO2: 257377.6
Anomaly detected — Facility: AK Steel Corporation West Works | Year: 2011 | CO2: 719884.9
Anomaly detected — Facility: AK Steel Corporation West Works | Year: 2011 | CO2: 202898.6
Anomaly detected — Facility: AK Steel Corporation West Works | Year: 2011 | CO2: 234088.7
Anomaly detected — Facility: AK Steel Corporation West Works | Year: 2011 | CO2: 239779.2
Anomaly detected — Facility: AK Steel Corporation West Works | Year: 2011 | CO2: 243249.8
Anomaly detected — Facility: AK STEEL DEARBORN WORKS | Year: 2019 | CO2: 568045.6
Anomaly detected — Facility: AK STEEL DEARBORN WORKS | Year: 2019 | CO2: 289490.7
Anomaly detected — Facility: AK STEEL DEARBORN WORKS | Year: 2018 | CO2: 714375.0
Anomaly detected — Facility: AK STEEL DEARBORN WORKS | Year: 2018 | CO2: 302083.3
Anomaly detected — Facility: AK STEEL DEARBORN WORKS | Year: 2017 | CO2: 226408.7
Anomaly detected — Facility: AK STEEL DEARBORN WORKS | Year: 2016 | CO2: 237870.2
Anomaly detected — Facility: AK STEEL DEARBORN WORKS | Year: 2015 | CO2: 306463.6
Anomaly detected — Facility: AK STEEL DEARBORN WORKS | Year: 2014 | CO2: 353915.2
Anomaly detected — Facility: AK STEEL DEARBORN WORKS | Year: 2013 | CO2: 359072.0
Anomaly detected — Facility: AK STEEL DEARBORN WORKS | Year: 2012 | CO2: 341802.0
Anomaly detected — Facility: AK STEEL DEARBORN WORKS | Year: 2011 | CO2: 327438.2
Anomaly detected — Facility: AL CORN CLEAN FUEL | Year: 2022 | CO2: 202950.8
Anomaly detected — Facility: ALCOA INC - WARRICK OPERATIONS | Year: 2021 | CO2: 198403.3
Anomaly detected — Facility: ALCOA INC - WARRICK OPERATIONS | Year: 2020 | CO2: 191350.6
Anomaly detected — Facility: ALCOA INC - WARRICK OPERATIONS | Year: 2018 | CO2: 198422.9
Anomaly detected — Facility: ALCOA INC - WARRICK OPERATIONS | Year: 2017 | CO2: 211424.1
Anomaly detected — Facility: ALCOA INC - WARRICK OPERATIONS | Year: 2016 | CO2: 203815.5
Anomaly detected — Facility: ALCOA WORLD ALUMINA ATLANTIC | Year: 2015 | CO2: 937885.2
Anomaly detected — Facility: ALCOA WORLD ALUMINA ATLANTIC | Year: 2014 | CO2: 905782.6
Anomaly detected — Facility: ALCOA WORLD ALUMINA ATLANTIC | Year: 2013 | CO2: 893531.9
Anomaly detected — Facility: ALCOA WORLD ALUMINA ATLANTIC | Year: 2012 | CO2: 815158.4
Anomaly detected — Facility: ALCOA WORLD ALUMINA ATLANTIC | Year: 2011 | CO2: 798040.7
Anomaly detected — Facility: AM/NS Calvert, LLC | Year: 2017 | CO2: 519456.7
Anomaly detected — Facility: AM/NS Calvert, LLC | Year: 2016 | CO2: 487621.7
Anomaly detected — Facility: AM/NS Calvert, LLC | Year: 2015 | CO2: 446775.7
Anomaly detected — Facility: AM/NS Calvert, LLC | Year: 2014 | CO2: 440834.3
Anomaly detected — Facility: AM/NS Calvert, LLC | Year: 2013 | CO2: 341296.0
Anomaly detected — Facility: AM/NS Calvert, LLC | Year: 2012 | CO2: 285772.0
Anomaly detected — Facility: AM/NS Calvert, LLC | Year: 2011 | CO2: 244317.4
Anomaly detected — Facility: AMALGAMATED SUGAR CO LLC | Year: 2022 | CO2: 190251.6
Anomaly detected — Facility: AMALGAMATED SUGAR CO LLC | Year: 2020 | CO2: 190098.6
Anomaly detected — Facility: AMALGAMATED SUGAR CO LLC | Year: 2017 | CO2: 197740.6
Anomaly detected — Facility: AMALGAMATED SUGAR CO LLC | Year: 2017 | CO2: 194937.4
Anomaly detected — Facility: AMALGAMATED SUGAR CO LLC | Year: 2016 | CO2: 194379.5
Anomaly detected — Facility: AMALGAMATED SUGAR CO LLC | Year: 2013 | CO2: 215402.0
Anomaly detected — Facility: American Crystal Sugar Company - Drayton | Year: 2022 | CO2: 232676.6
Anomaly detected — Facility: American Crystal Sugar Company - Drayton | Year: 2021 | CO2: 202823.6
Anomaly detected — Facility: American Crystal Sugar Company - Drayton | Year: 2019 | CO2: 213737.1
Anomaly detected — Facility: American Crystal Sugar Company - Drayton | Year: 2018 | CO2: 220102.6
Anomaly detected — Facility: American Crystal Sugar Company - Drayton | Year: 2017 | CO2: 216141.7
Anomaly detected — Facility: American Crystal Sugar Company - Drayton | Year: 2016 | CO2: 194096.6
Anomaly detected — Facility: American Crystal Sugar Company - Drayton | Year: 2012 | CO2: 191106.1
Anomaly detected — Facility: American Soda LLC | Year: 2022 | CO2: 335427.2
Anomaly detected — Facility: AMERICAN SUGAR REFINING INC - Chalmette Refinery | Year: 2018 | CO2: 249238.8
Anomaly detected — Facility: AMERICAN SYNTHETIC RUBBER | Year: 2018 | CO2: 192847.0
Anomaly detected — Facility: AMERICAN SYNTHETIC RUBBER | Year: 2016 | CO2: 195442.3
Anomaly detected — Facility: AMERICAN SYNTHETIC RUBBER | Year: 2015 | CO2: 216663.7
Anomaly detected — Facility: AMERICAN SYNTHETIC RUBBER | Year: 2014 | CO2: 195600.1
Anomaly detected — Facility: AMERICAN SYNTHETIC RUBBER | Year: 2013 | CO2: 196868.0
Anomaly detected — Facility: AMERICAN SYNTHETIC RUBBER | Year: 2012 | CO2: 209656.3
Anomaly detected — Facility: AMERICAN SYNTHETIC RUBBER | Year: 2011 | CO2: 240591.1
Anomaly detected — Facility: AMERICAS STYRENICS LLC - ST JAMES PLANT | Year: 2022 | CO2: 332367.7
Anomaly detected — Facility: AMERICAS STYRENICS LLC - ST JAMES PLANT | Year: 2022 | CO2: 263221.1
Anomaly detected — Facility: AMERICAS STYRENICS LLC - ST JAMES PLANT | Year: 2021 | CO2: 465220.6
Anomaly detected — Facility: AMERICAS STYRENICS LLC - ST JAMES PLANT | Year: 2021 | CO2: 266716.6
Anomaly detected — Facility: AMERICAS STYRENICS LLC - ST JAMES PLANT | Year: 2020 | CO2: 401937.6
Anomaly detected — Facility: AMERICAS STYRENICS LLC - ST JAMES PLANT | Year: 2020 | CO2: 266545.7
Anomaly detected — Facility: AMERICAS STYRENICS LLC - ST JAMES PLANT | Year: 2019 | CO2: 435518.1
Anomaly detected — Facility: AMERICAS STYRENICS LLC - ST JAMES PLANT | Year: 2019 | CO2: 271905.6
Anomaly detected — Facility: AMERICAS STYRENICS LLC - ST JAMES PLANT | Year: 2018 | CO2: 418576.0
Anomaly detected — Facility: AMERICAS STYRENICS LLC - ST JAMES PLANT | Year: 2018 | CO2: 300960.6
Anomaly detected — Facility: AMERICAS STYRENICS LLC - ST JAMES PLANT | Year: 2017 | CO2: 331424.6
Anomaly detected — Facility: AMERICAS STYRENICS LLC - ST JAMES PLANT | Year: 2017 | CO2: 290347.1
Anomaly detected — Facility: AMERICAS STYRENICS LLC - ST JAMES PLANT | Year: 2016 | CO2: 427159.4
Anomaly detected — Facility: AMERICAS STYRENICS LLC - ST JAMES PLANT | Year: 2016 | CO2: 256008.1
Anomaly detected — Facility: AMERICAS STYRENICS LLC - ST JAMES PLANT | Year: 2015 | CO2: 429744.2
Anomaly detected — Facility: AMERICAS STYRENICS LLC - ST JAMES PLANT | Year: 2015 | CO2: 235365.1
Anomaly detected — Facility: AMERICAS STYRENICS LLC - ST JAMES PLANT | Year: 2014 | CO2: 380568.3
Anomaly detected — Facility: AMERICAS STYRENICS LLC - ST JAMES PLANT | Year: 2014 | CO2: 236551.4
Anomaly detected — Facility: AMERICAS STYRENICS LLC - ST JAMES PLANT | Year: 2013 | CO2: 434763.5
Anomaly detected — Facility: AMERICAS STYRENICS LLC - ST JAMES PLANT | Year: 2013 | CO2: 275709.2
Anomaly detected — Facility: AMERICAS STYRENICS LLC - ST JAMES PLANT | Year: 2012 | CO2: 422742.7
Anomaly detected — Facility: AMERICAS STYRENICS LLC - ST JAMES PLANT | Year: 2012 | CO2: 279836.2
Anomaly detected — Facility: AMERICAS STYRENICS LLC - ST JAMES PLANT | Year: 2011 | CO2: 372051.4
Anomaly detected — Facility: AMERICAS STYRENICS LLC - ST JAMES PLANT | Year: 2011 | CO2: 250548.5
Anomaly detected — Facility: Anadarko | Year: 2018 | CO2: 203237.3
Anomaly detected — Facility: Andeavor EL PASO ALL SITES | Year: 2018 | CO2: 265966.7
Anomaly detected — Facility: Andeavor EL PASO ALL SITES | Year: 2018 | CO2: 251145.8
Anomaly detected — Facility: Andeavor EL PASO ALL SITES | Year: 2017 | CO2: 206099.9
Anomaly detected — Facility: Andeavor EL PASO ALL SITES | Year: 2017 | CO2: 273293.5
Anomaly detected — Facility: ANDERSONS ALBION ETHANOL LLC | Year: 2018 | CO2: 221845.0
Anomaly detected — Facility: Anheuser-Busch LLC. - St. Louis Brewery | Year: 2014 | CO2: 198091.1
Anomaly detected — Facility: Anheuser-Busch LLC. - St. Louis Brewery | Year: 2013 | CO2: 212113.0
Anomaly detected — Facility: Anheuser-Busch LLC. - St. Louis Brewery | Year: 2012 | CO2: 253383.3
Anomaly detected — Facility: Anheuser-Busch LLC. - St. Louis Brewery | Year: 2011 | CO2: 284121.3
Anomaly detected — Facility: Applied Energy LLC Naval Station | Year: 2017 | CO2: 197290.9
Anomaly detected — Facility: Applied Energy LLC Naval Station | Year: 2016 | CO2: 195717.0
Anomaly detected — Facility: Applied Energy LLC Naval Station | Year: 2015 | CO2: 191006.2
Anomaly detected — Facility: Applied Energy LLC Naval Station | Year: 2013 | CO2: 191874.6
Anomaly detected — Facility: APS West Phoenix Power Plant | Year: 2020 | CO2: 190972.3
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2019 | CO2: 270031.5
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2019 | CO2: 832762.6
Anomaly detected — Facility: ARCELORMITTAL BURNS HARBOR LLC | Year: 2019 | CO2: 386364.4
